"date","Province","Cases","Deaths","Recovered","Tests","...7","...8","...9"
2020-03-23,"IND",0,0,0,0,NA,NA,NA
2020-03-23,"ALT",11,0,0,0,NA,NA,NA
2020-03-23,"ROM",5,0,0,0,NA,NA,NA
2020-03-23,"VEGA",8,0,0,0,NA,NA,NA
2020-03-23,"MTS",3,0,0,0,NA,NA,NA
2020-03-23,"MC",0,0,0,0,NA,NA,NA
2020-03-23,"PED",0,0,0,0,NA,NA,NA
2020-03-23,"PERV",0,0,0,0,NA,NA,NA
2020-03-23,"PPLATA",5,0,0,0,NA,NA,NA
2020-03-23,"MIRABAL",3,0,0,0,NA,NA,NA
2020-03-23,"SAM",5,0,0,0,NA,NA,NA
2020-03-23,"SCBAL",1,0,0,0,NA,NA,NA
2020-03-23,"SJUAN",2,1,0,0,NA,NA,NA
2020-03-23,"SPM",10,1,0,0,NA,NA,NA
2020-03-23,"SRAM",1,0,0,0,NA,NA,NA
2020-03-23,"STGO",44,0,0,0,NA,NA,NA
2020-03-23,"SROD",0,0,0,0,NA,NA,NA
2020-03-23,"VALV",1,0,0,0,NA,NA,NA
2020-03-23,"NOUEL",3,0,0,0,NA,NA,NA
2020-03-23,"MPLATA",0,0,0,0,NA,NA,NA
2020-03-23,"HMAYOR",0,0,0,0,NA,NA,NA
2020-03-23,"OCOA",0,0,0,0,NA,NA,NA
2020-03-23,"SD",40,0,0,0,NA,NA,NA
2020-03-24,"DN",178,1,0,0,NA,NA,NA
2020-03-24,"AZUA",1,0,0,0,NA,NA,NA
2020-03-24,"BAO",0,0,0,0,NA,NA,NA
2020-03-24,"BARA",2,0,0,0,NA,NA,NA
2020-03-24,"DJBON",0,0,0,0,NA,NA,NA
2020-03-24,"DTE",29,4,0,0,NA,NA,NA
2020-03-24,"EP",0,0,0,0,NA,NA,NA
2020-03-24,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-24,"ESP",5,0,0,0,NA,NA,NA
2020-03-24,"IND",1,0,0,0,NA,NA,NA
2020-03-24,"ALT",12,0,0,0,NA,NA,NA
2020-03-24,"ROM",5,0,0,0,NA,NA,NA
2020-03-24,"VEGA",8,0,0,0,NA,NA,NA
2020-03-24,"MTS",3,0,0,0,NA,NA,NA
2020-03-24,"MC",0,0,0,0,NA,NA,NA
2020-03-24,"PED",0,0,0,0,NA,NA,NA
2020-03-24,"PERV",0,0,0,0,NA,NA,NA
2020-03-24,"PPLATA",5,0,0,0,NA,NA,NA
2020-03-24,"MIRABAL",3,0,0,0,NA,NA,NA
2020-03-24,"SAM",7,1,0,0,NA,NA,NA
2020-03-24,"SCBAL",4,0,0,0,NA,NA,NA
2020-03-24,"SJUAN",2,1,0,0,NA,NA,NA
2020-03-24,"SPM",10,1,0,0,NA,NA,NA
2020-03-24,"SRAM",6,0,0,0,NA,NA,NA
2020-03-24,"STGO",53,2,0,0,NA,NA,NA
2020-03-24,"SROD",0,0,0,0,NA,NA,NA
2020-03-24,"VALV",1,0,0,0,NA,NA,NA
2020-03-24,"NOUEL",3,0,0,0,NA,NA,NA
2020-03-24,"MPLATA",0,0,0,0,NA,NA,NA
2020-03-24,"HMAYOR",2,0,0,0,NA,NA,NA
2020-03-24,"OCOA",0,0,0,0,NA,NA,NA
2020-03-24,"SD",52,0,0,0,NA,NA,NA
2020-03-25,"DN",235,1,0,0,NA,NA,NA
2020-03-25,"AZUA",4,0,0,0,NA,NA,NA
2020-03-25,"BAO",0,0,0,0,NA,NA,NA
2020-03-25,"BARA",2,0,0,0,NA,NA,NA
2020-03-25,"DJBON",0,0,0,0,NA,NA,NA
2020-03-25,"DTE",43,4,0,0,NA,NA,NA
2020-03-25,"EP",0,0,0,0,NA,NA,NA
2020-03-25,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-25,"ESP",10,0,0,0,NA,NA,NA
2020-03-25,"IND",1,0,0,0,NA,NA,NA
2020-03-25,"ALT",11,0,0,0,NA,NA,NA
2020-03-25,"ROM",6,0,0,0,NA,NA,NA
2020-03-25,"VEGA",11,0,0,0,NA,NA,NA
2020-03-25,"MTS",4,0,0,0,NA,NA,NA
2020-03-25,"MC",0,0,0,0,NA,NA,NA
2020-03-25,"PED",0,0,0,0,NA,NA,NA
2020-03-25,"PERV",0,0,0,0,NA,NA,NA
2020-03-25,"PPLATA",7,0,0,0,NA,NA,NA
2020-03-25,"MIRABAL",3,0,0,0,NA,NA,NA
2020-03-25,"SAM",7,1,0,0,NA,NA,NA
2020-03-25,"SCBAL",5,0,0,0,NA,NA,NA
2020-03-25,"SJUAN",2,1,0,0,NA,NA,NA
2020-03-25,"SPM",12,1,0,0,NA,NA,NA
2020-03-25,"SRAM",6,0,0,0,NA,NA,NA
2020-03-25,"STGO",57,2,0,0,NA,NA,NA
2020-03-25,"SROD",0,0,0,0,NA,NA,NA
2020-03-25,"VALV",2,0,0,0,NA,NA,NA
2020-03-25,"NOUEL",3,0,0,0,NA,NA,NA
2020-03-25,"MPLATA",0,0,0,0,NA,NA,NA
2020-03-25,"HMAYOR",2,0,0,0,NA,NA,NA
2020-03-25,"OCOA",0,0,0,0,NA,NA,NA
2020-03-25,"SD",55,0,0,0,NA,NA,NA
2020-03-26,"DN",273,2,0,0,NA,NA,NA
2020-03-26,"AZUA",4,0,0,0,NA,NA,NA
2020-03-26,"BAO",0,0,0,0,NA,NA,NA
2020-03-26,"BARA",4,0,0,0,NA,NA,NA
2020-03-26,"DJBON",0,0,0,0,NA,NA,NA
2020-03-26,"DTE",59,12,0,0,NA,NA,NA
2020-03-26,"EP",0,0,0,0,NA,NA,NA
2020-03-26,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-26,"ESP",10,0,0,0,NA,NA,NA
2020-03-26,"IND",1,0,0,0,NA,NA,NA
2020-03-26,"ALT",11,0,0,0,NA,NA,NA
2020-03-26,"ROM",8,0,0,0,NA,NA,NA
2020-03-26,"VEGA",16,0,0,0,NA,NA,NA
2020-03-26,"MTS",4,0,0,0,NA,NA,NA
2020-03-26,"MC",0,0,0,0,NA,NA,NA
2020-03-26,"PED",0,0,0,0,NA,NA,NA
2020-03-26,"PERV",1,0,0,0,NA,NA,NA
2020-03-26,"PPLATA",11,0,0,0,NA,NA,NA
2020-03-26,"MIRABAL",4,0,0,0,NA,NA,NA
2020-03-26,"SAM",8,1,0,0,NA,NA,NA
2020-03-26,"SCBAL",6,0,0,0,NA,NA,NA
2020-03-26,"SJUAN",2,1,0,0,NA,NA,NA
2020-03-26,"SPM",13,1,0,0,NA,NA,NA
2020-03-26,"SRAM",6,0,0,0,NA,NA,NA
2020-03-26,"STGO",66,2,0,0,NA,NA,NA
2020-03-26,"SROD",0,0,0,0,NA,NA,NA
2020-03-26,"VALV",2,0,0,0,NA,NA,NA
2020-03-26,"NOUEL",4,1,0,0,NA,NA,NA
2020-03-26,"MPLATA",0,0,0,0,NA,NA,NA
2020-03-26,"HMAYOR",2,0,0,0,NA,NA,NA
2020-03-26,"OCOA",0,0,0,0,NA,NA,NA
2020-03-26,"SD",66,0,0,0,NA,NA,NA
2020-03-27,"DN",321,4,0,0,NA,NA,NA
2020-03-27,"AZUA",5,0,0,0,NA,NA,NA
2020-03-27,"BAO",0,0,0,0,NA,NA,NA
2020-03-27,"BARA",4,0,0,0,NA,NA,NA
2020-03-27,"DJBON",0,0,0,0,NA,NA,NA
2020-03-27,"DTE",65,13,0,0,NA,NA,NA
2020-03-27,"EP",0,0,0,0,NA,NA,NA
2020-03-27,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-27,"ESP",11,0,0,0,NA,NA,NA
2020-03-27,"IND",1,0,0,0,NA,NA,NA
2020-03-27,"ALT",17,0,0,0,NA,NA,NA
2020-03-27,"ROM",13,0,0,0,NA,NA,NA
2020-03-27,"VEGA",33,1,0,0,NA,NA,NA
2020-03-27,"MTS",4,0,0,0,NA,NA,NA
2020-03-27,"MC",0,0,0,0,NA,NA,NA
2020-03-27,"PED",0,0,0,0,NA,NA,NA
2020-03-27,"PERV",1,0,0,0,NA,NA,NA
2020-03-27,"PPLATA",13,0,0,0,NA,NA,NA
2020-03-27,"MIRABAL",10,0,0,0,NA,NA,NA
2020-03-27,"SAM",8,1,0,0,NA,NA,NA
2020-03-27,"SCBAL",8,0,0,0,NA,NA,NA
2020-03-27,"SJUAN",3,1,0,0,NA,NA,NA
2020-03-27,"SPM",15,1,0,0,NA,NA,NA
2020-03-27,"SRAM",7,0,0,0,NA,NA,NA
2020-03-27,"STGO",90,2,0,0,NA,NA,NA
2020-03-27,"SROD",0,0,0,0,NA,NA,NA
2020-03-27,"VALV",2,0,0,0,NA,NA,NA
2020-03-27,"NOUEL",6,1,0,0,NA,NA,NA
2020-03-27,"MPLATA",1,0,0,0,NA,NA,NA
2020-03-27,"HMAYOR",2,0,0,0,NA,NA,NA
